round,rmse,profile
0,0.5906006964471769,she
1,1.9710527909446138,she
2,0.4865623890381125,she
3,0.10658548033203198,she
4,0.3754228155364303,she
5,0.11377389023579484,she
6,0.12398946477013223,she
7,0.09688015585684426,she
8,0.02336645409994842,she
9,0.09241980866373843,she
10,0.10000996353760089,she
11,0.03224980895811521,she
12,0.0496865020282858,she
13,0.058372766296940784,she
14,0.03548369963825053,she
15,0.014436965100686011,she
16,0.0284312742257754,she
17,0.018022553279085148,she
18,0.01965357946142089,she
19,0.024004204347030534,she
20,0.012427623888161895,she
21,0.008106784577307747,she
22,0.012989306342214462,she
23,0.01227179691189768,she
24,0.02119413187477752,she
25,0.03513308927780295,she
