round,accuracy,profile
0,51.21951219512195,she
2,64.8780487804878,she
3,75.60975609756098,she
4,83.90243902439025,she
5,84.8780487804878,she
6,83.41463414634147,she
7,85.36585365853658,she
8,85.85365853658537,she
9,85.85365853658537,she
10,85.85365853658537,she
11,86.82926829268293,she
12,84.8780487804878,she
13,84.8780487804878,she
14,84.39024390243902,she
15,84.39024390243902,she
16,83.90243902439025,she
17,85.36585365853658,she
18,84.8780487804878,she
19,85.85365853658537,she
20,86.34146341463415,she
21,85.85365853658537,she
22,85.85365853658537,she
23,84.8780487804878,she
24,83.90243902439025,she
25,82.92682926829268,she
26,83.90243902439025,she
27,83.90243902439025,she
28,83.90243902439025,she
29,83.41463414634147,she
30,84.8780487804878,she
31,84.39024390243902,she
32,85.36585365853658,she
33,84.8780487804878,she
34,84.39024390243902,she
35,84.39024390243902,she
36,84.39024390243902,she
37,84.39024390243902,she
38,83.90243902439025,she
39,84.8780487804878,she
40,85.36585365853658,she
41,85.36585365853658,she
42,85.85365853658537,she
43,85.85365853658537,she
44,84.8780487804878,she
45,83.90243902439025,she
46,84.39024390243902,she
47,83.90243902439025,she
48,83.90243902439025,she
49,84.8780487804878,she
50,85.85365853658537,she
