round,accuracy,round_time
0,7.15,0.0
1,74.6,19.453049182891846
2,12.06,22.0110125541687
3,26.42,20.612702131271362
4,17.04,21.706072330474854
5,9.75,21.08651852607727
6,10.09,21.4031240940094
7,9.74,21.488932847976685
8,10.1,21.26112723350525
9,9.58,21.427244424819946
10,8.92,27.159029960632324
11,10.28,25.32109808921814
12,9.82,25.29651427268982
13,9.74,41.35669732093811
14,10.09,23.69235610961914
15,9.82,26.672557830810547
16,10.1,29.344938039779663
17,10.28,26.13792586326599
18,10.32,21.998343467712402
19,10.28,21.709460973739624
20,10.32,21.819470643997192
21,10.28,21.736276865005493
22,10.1,21.75901746749878
23,10.28,22.360305786132812
24,10.1,21.604735851287842
25,10.28,21.86535382270813
26,10.13,21.749329805374146
27,8.92,21.511272192001343
28,9.81,21.601428508758545
29,9.58,21.713289260864258
30,10.09,21.711665630340576
31,9.79,21.643513917922974
32,10.28,21.6358962059021
33,10.1,21.455854177474976
34,10.28,21.5473792552948
35,10.1,21.43078303337097
36,10.28,21.484585523605347
37,10.1,21.63006901741028
38,10.28,21.553876399993896
39,10.1,21.488749742507935
40,10.28,24.155417442321777
41,10.1,24.609113454818726
42,10.28,34.871379137039185
43,10.1,25.128342390060425
44,10.28,23.639089107513428
45,10.1,21.666890144348145
46,10.28,21.600018739700317
47,10.1,21.703458547592163
48,10.28,21.536450624465942
49,10.1,21.516544342041016
50,10.28,21.62547731399536
