round,accuracy,round_time
0,10.07,0.0
1,92.6,12.524704456329346
2,96.13,10.682987689971924
3,96.77,12.899183511734009
4,96.86,12.623548030853271
5,97.36,13.20978856086731
6,97.69,12.487544298171997
7,97.59,12.94834566116333
8,97.78,12.465102434158325
9,97.88,12.546329259872437
10,97.84,12.496118545532227
11,97.86,12.766635656356812
12,97.9,12.5200514793396
13,97.75,12.406822204589844
14,97.99,12.43818974494934
15,98.16,12.379254579544067
16,97.94,12.50777006149292
17,98.14,12.464166164398193
18,98.21,12.416945219039917
19,97.94,12.349871397018433
20,97.92,12.442245483398438
21,98.11,12.422779321670532
22,98.11,13.590124368667603
23,98.12,14.176472902297974
24,97.82,15.229886054992676
25,98.2,14.450902223587036
26,98.14,22.867424249649048
27,98.31,14.477461338043213
28,98.12,16.351513862609863
29,98.06,15.183550834655762
30,98.08,21.077935457229614
31,98.22,16.79268980026245
32,97.96,20.503875732421875
33,98.24,16.39656376838684
34,98.15,17.04546546936035
35,98.2,14.361860513687134
36,98.38,14.811535358428955
37,98.24,16.194982290267944
38,98.26,15.933820724487305
39,98.14,20.26369309425354
40,98.06,15.618488550186157
41,98.05,15.974028587341309
42,98.29,13.997517108917236
43,98.29,15.689033269882202
44,98.17,15.737512350082397
45,98.25,15.053666353225708
46,98.24,23.453619956970215
47,98.21,17.09912085533142
48,98.13,14.500176429748535
49,98.18,16.309659481048584
50,98.11,13.911519050598145
