round,accuracy,round_time
0,7.15,0.0
1,78.0,26.389329195022583
2,94.95,30.09683346748352
3,95.52,27.456928730010986
4,96.0,26.96189546585083
5,96.39,26.46649718284607
6,96.77,26.339746475219727
7,96.78,26.563454389572144
8,96.9,26.45673632621765
9,97.05,26.51376748085022
10,97.21,26.53076958656311
11,97.24,26.60940647125244
12,97.29,26.552040338516235
13,97.21,35.331255197525024
14,97.08,35.21068549156189
15,97.21,28.55993342399597
16,97.29,26.642432689666748
17,97.46,26.67103600502014
18,97.2,26.665449619293213
19,97.39,26.6395366191864
20,97.26,26.817517518997192
21,97.4,26.651689767837524
22,97.45,26.882899045944214
23,97.22,26.829163312911987
24,97.51,26.922334671020508
25,97.35,26.94865083694458
26,97.48,27.029248237609863
27,97.57,26.88494086265564
28,97.49,26.769464015960693
29,97.62,26.993104457855225
30,97.58,26.863625288009644
31,97.57,27.066667079925537
32,97.28,26.911404848098755
33,97.37,27.073755502700806
34,97.47,27.05211901664734
35,97.35,27.113971710205078
36,97.46,26.94604253768921
37,97.55,26.98750877380371
38,97.38,27.123212099075317
39,97.39,27.05178141593933
40,97.46,32.41337180137634
41,97.59,33.47584867477417
42,97.42,32.943596601486206
43,97.47,33.12613081932068
44,97.6,33.71600818634033
45,97.61,32.66678738594055
46,97.34,31.920246839523315
47,97.72,32.40192985534668
48,97.75,36.3182270526886
49,97.55,33.90370726585388
50,97.47,32.96501445770264
